"strategy","v1trans","v2trans","vUptake","relax","R0","virus","other"
"Moderate Elimination",50,50,90,1,3.75,49.21,161.43
"Moderate Elimination",50,75,60,0,2.5,9.03,10.17
"Moderate Elimination",50,75,60,0,3.125,18.92,88.52
"Moderate Elimination",50,75,60,0,3.75,35.39,377.82
"Moderate Elimination",50,75,60,1,2.5,10.92,1.78
"Moderate Elimination",50,75,60,1,3.125,24.54,20.91
"Moderate Elimination",50,75,60,1,3.75,67.57,188.89
"Moderate Elimination",50,75,75,0,2.5,7.54,7.79
"Moderate Elimination",50,75,75,0,3.125,15.35,61.85
"Moderate Elimination",50,75,75,0,3.75,29.02,312.03
"Moderate Elimination",50,75,75,1,2.5,8.56,1.78
"Moderate Elimination",50,75,75,1,3.125,18.88,16.06
"Moderate Elimination",50,75,75,1,3.75,47.32,148.89
"Moderate Elimination",50,75,90,0,2.5,5.9,1.36
"Moderate Elimination",50,75,90,0,3.125,12.98,51.43
"Moderate Elimination",50,75,90,0,3.75,24.1,259.64
"Moderate Elimination",50,75,90,1,2.5,6.54,0.91
"Moderate Elimination",50,75,90,1,3.125,14.93,18.93
"Moderate Elimination",50,75,90,1,3.75,33.81,123.85
"Moderate Elimination",50,90,60,0,2.5,8.06,4.08
"Moderate Elimination",50,90,60,0,3.125,17.39,68.24
"Moderate Elimination",50,90,60,0,3.75,33.12,312.24
"Moderate Elimination",50,90,60,1,2.5,9.58,1.78
"Moderate Elimination",50,90,60,1,3.125,22.05,19.63
"Moderate Elimination",50,90,60,1,3.75,56.85,167.44
"Moderate Elimination",50,90,75,0,2.5,6.74,2.7
"Moderate Elimination",50,90,75,0,3.125,13.89,43.43
"Moderate Elimination",50,90,75,0,3.75,26.76,245.05
"Moderate Elimination",50,90,75,1,2.5,7.46,1.78
"Moderate Elimination",50,90,75,1,3.125,15.98,15.6
"Moderate Elimination",50,90,75,1,3.75,39.3,138.25
"Moderate Elimination",50,90,90,0,2.5,5.51,1.36
"Moderate Elimination",50,90,90,0,3.125,11.86,40.6
"Moderate Elimination",50,90,90,0,3.75,21.95,202.73
"Moderate Elimination",50,90,90,1,2.5,5.91,0.91
"Moderate Elimination",50,90,90,1,3.125,13.14,19.39
"Moderate Elimination",50,90,90,1,3.75,28.78,111.61
"Moderate Elimination",75,50,60,0,2.5,8.89,16
"Moderate Elimination",75,50,60,0,3.125,18.51,100.61
"Moderate Elimination",75,50,60,0,3.75,34.01,379.84
"Moderate Elimination",75,50,60,1,2.5,10.96,0.45
"Moderate Elimination",75,50,60,1,3.125,23.7,16.9
"Moderate Elimination",75,50,60,1,3.75,76.53,174.37
"Moderate Elimination",75,50,75,0,2.5,7.17,8.87
"Moderate Elimination",75,50,75,0,3.125,15.13,70.05
"Moderate Elimination",75,50,75,0,3.75,28.06,309.38
"Moderate Elimination",75,50,75,1,2.5,8.46,0.9
"Moderate Elimination",75,50,75,1,3.125,18.79,14.77
"Moderate Elimination",75,50,75,1,3.75,48.16,126.76
"Moderate Elimination",75,50,90,0,2.5,6.09,4.75
"Moderate Elimination",75,50,90,0,3.125,11.8,44.08
"Moderate Elimination",75,50,90,0,3.75,23.13,232.92
"Moderate Elimination",75,50,90,1,2.5,6.62,0.45
"Moderate Elimination",75,50,90,1,3.125,13.99,12.29
"Moderate Elimination",75,50,90,1,3.75,31.66,89.48
"Moderate Elimination",75,75,60,0,2.5,7.84,3.49
"Moderate Elimination",75,75,60,0,3.125,16.31,56.86
"Moderate Elimination",75,75,60,0,3.75,31.13,294.47
"Moderate Elimination",75,75,60,1,2.5,9.36,0.45
"Moderate Elimination",75,75,60,1,3.125,20.57,16.44
"Moderate Elimination",75,75,60,1,3.75,51.21,134.6
"Moderate Elimination",75,75,75,0,2.5,6.41,2.74
"Moderate Elimination",75,75,75,0,3.125,13.23,42.47
"Moderate Elimination",75,75,75,0,3.75,25.17,212.97
"Moderate Elimination",75,75,75,1,2.5,7.2,0.9
"Moderate Elimination",75,75,75,1,3.125,15.91,15.22
"Moderate Elimination",75,75,75,1,3.75,35.38,103.29
"Moderate Elimination",75,75,90,0,2.5,5.39,1.81
"Moderate Elimination",75,75,90,0,3.125,10.46,24.06
"Moderate Elimination",75,75,90,0,3.75,20.55,165.97
"Moderate Elimination",75,75,90,1,2.5,5.73,0.45
"Moderate Elimination",75,75,90,1,3.125,11.6,12.29
"Moderate Elimination",75,75,90,1,3.75,25.77,80.91
"Moderate Elimination",75,90,60,0,2.5,7.34,3.18
"Moderate Elimination",75,90,60,0,3.125,15.23,44.29
"Moderate Elimination",75,90,60,0,3.75,28.8,238.61
"Moderate Elimination",75,90,60,1,2.5,8.21,0.45
"Moderate Elimination",75,90,60,1,3.125,17.67,16.44
"Moderate Elimination",75,90,60,1,3.75,43.03,120.38
"Moderate Elimination",75,90,75,0,2.5,5.86,0.9
"Moderate Elimination",75,90,75,0,3.125,12.41,33.73
"Moderate Elimination",75,90,75,0,3.75,22.85,174.06
"Moderate Elimination",75,90,75,1,2.5,6.48,0.9
"Moderate Elimination",75,90,75,1,3.125,13.76,14.77
"Moderate Elimination",75,90,75,1,3.75,30.52,98.76
"Moderate Elimination",75,90,90,0,2.5,5.02,0.91
"Moderate Elimination",75,90,90,0,3.125,9.57,21.22
"Moderate Elimination",75,90,90,0,3.75,19.02,143.01
"Moderate Elimination",75,90,90,1,2.5,5.17,0.45
"Moderate Elimination",75,90,90,1,3.125,10.38,12.29
"Moderate Elimination",75,90,90,1,3.75,22.56,77.34
"Moderate Elimination",90,50,60,0,2.5,8.25,11.92
"Moderate Elimination",90,50,60,0,3.125,16.86,67.04
"Moderate Elimination",90,50,60,0,3.75,31.12,303.57
"Moderate Elimination",90,50,60,1,2.5,9.79,0.89
